field,tp,fp,fn,precision,recall,f1,support
ALT,50,0,0,1.0,1.0,1.0,50
AST,45,0,0,1.0,1.0,1.0,45
BMI,50,0,0,1.0,1.0,1.0,50
Cholesterol_HDL,46,0,0,1.0,1.0,1.0,46
Cholesterol_LDL,46,0,0,1.0,1.0,1.0,46
Cholesterol_Total,50,0,0,1.0,1.0,1.0,50
Creatinine,50,0,0,1.0,1.0,1.0,50
DBP,50,0,0,1.0,1.0,1.0,50
GGT,40,0,0,1.0,1.0,1.0,40
Glucose_Fasting,50,0,0,1.0,1.0,1.0,50
HGB,43,0,0,1.0,1.0,1.0,43
HbA1c,50,0,0,1.0,1.0,1.0,50
Platelet,43,0,0,1.0,1.0,1.0,43
SBP,50,0,0,1.0,1.0,1.0,50
Triglycerides,45,0,0,1.0,1.0,1.0,45
UA,40,0,0,1.0,1.0,1.0,40
WBC,50,0,0,1.0,1.0,1.0,50
eGFR,50,0,0,1.0,1.0,1.0,50
