sample_id,truth_field_count,supported_truth_field_count,raw_predicted_field_count,raw_correct_field_count,supported_correct_field_count,canonical_predicted_field_count,canonical_correct_field_count,raw_supported_recall,raw_overall_recall,full_supported_match
sample_001,18,18,18,18,18,18,18,1.0,1.0,True
sample_002,18,18,18,18,18,18,18,1.0,1.0,True
sample_003,18,18,18,18,18,18,18,1.0,1.0,True
sample_004,18,18,18,18,18,18,18,1.0,1.0,True
sample_005,16,16,16,16,16,16,16,1.0,1.0,True
sample_006,18,18,18,18,18,18,18,1.0,1.0,True
sample_007,16,16,16,16,16,16,16,1.0,1.0,True
sample_008,18,18,18,18,18,18,18,1.0,1.0,True
sample_009,16,16,16,16,16,16,16,1.0,1.0,True
sample_010,16,16,16,16,16,16,16,1.0,1.0,True
sample_011,16,16,16,16,16,16,16,1.0,1.0,True
sample_012,18,18,18,18,18,18,18,1.0,1.0,True
sample_013,18,18,18,18,18,18,18,1.0,1.0,True
sample_014,16,16,16,16,16,16,16,1.0,1.0,True
sample_015,16,16,16,16,16,16,16,1.0,1.0,True
sample_016,18,18,18,18,18,18,18,1.0,1.0,True
sample_017,18,18,18,18,18,18,18,1.0,1.0,True
sample_018,16,16,16,16,16,16,16,1.0,1.0,True
sample_019,18,18,18,18,18,18,18,1.0,1.0,True
sample_020,16,16,16,16,16,16,16,1.0,1.0,True
sample_021,16,16,16,16,16,16,16,1.0,1.0,True
sample_022,16,16,16,16,16,16,16,1.0,1.0,True
sample_023,18,18,18,18,18,18,18,1.0,1.0,True
sample_024,18,18,18,18,18,18,18,1.0,1.0,True
sample_025,16,16,16,16,16,16,16,1.0,1.0,True
sample_026,18,18,18,18,18,18,18,1.0,1.0,True
sample_027,16,16,16,16,16,16,16,1.0,1.0,True
sample_028,16,16,16,16,16,16,16,1.0,1.0,True
sample_029,18,18,18,18,18,18,18,1.0,1.0,True
sample_030,16,16,16,16,16,16,16,1.0,1.0,True
sample_031,18,18,18,18,18,18,18,1.0,1.0,True
sample_032,18,18,18,18,18,18,18,1.0,1.0,True
sample_033,16,16,16,16,16,16,16,1.0,1.0,True
sample_034,18,18,18,18,18,18,18,1.0,1.0,True
sample_035,14,14,14,14,14,14,14,1.0,1.0,True
sample_036,16,16,16,16,16,16,16,1.0,1.0,True
sample_037,18,18,18,18,18,18,18,1.0,1.0,True
sample_038,18,18,18,18,18,18,18,1.0,1.0,True
sample_039,18,18,18,18,18,18,18,1.0,1.0,True
sample_040,16,16,16,16,16,16,16,1.0,1.0,True
sample_041,18,18,18,18,18,18,18,1.0,1.0,True
sample_042,16,16,16,16,16,16,16,1.0,1.0,True
sample_043,18,18,18,18,18,18,18,1.0,1.0,True
sample_044,16,16,16,16,16,16,16,1.0,1.0,True
sample_045,14,14,14,14,14,14,14,1.0,1.0,True
sample_046,18,18,18,18,18,18,18,1.0,1.0,True
sample_047,18,18,18,18,18,18,18,1.0,1.0,True
sample_048,18,18,18,18,18,18,18,1.0,1.0,True
sample_049,16,16,16,16,16,16,16,1.0,1.0,True
sample_050,16,16,16,16,16,16,16,1.0,1.0,True
