disease,status,n_total,n_test,positive_total,positive_test,prevalence_total,prevalence_test,feature_count,missing_feature_count,missing_features,threshold,roc_auc,pr_auc,accuracy,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp,specificity
T2D,evaluated,13137,2628,1326,265,0.10093628682347568,0.10083713850837138,60,0,,0.5,0.9114860386940171,0.5559963023943498,0.8774733637747336,0.8062264949416715,0.43478260869565216,0.7169811320754716,0.5413105413105413,2116,247,75,190,0.8954718578078713
Obesity,evaluated,13137,2628,3993,799,0.3039506736697876,0.3040334855403349,60,0,,0.5,0.8919856764640874,0.7813655744222123,0.8097412480974124,0.8079851043985409,0.6517766497461929,0.8035043804755945,0.7197309417040358,1486,343,157,642,0.8124658283214872
PreDiabetes,evaluated,13137,2628,2557,512,0.194641090051001,0.1948249619482496,62,0,,0.5,0.8403246470344992,0.49645071529239415,0.7503805175038052,0.7643013793714556,0.4242105263157895,0.787109375,0.5512995896032832,1569,547,109,403,0.7414933837429112
Gout,evaluated,13137,2628,1583,317,0.12049935297252036,0.12062404870624048,63,0,,0.5,0.8568593218279876,0.42070757337570164,0.821537290715373,0.7447436277193016,0.36428571428571427,0.6435331230283912,0.4652223489167617,1955,356,113,204,0.845954132410212
Hyperuricemia,evaluated,13137,2628,1583,317,0.12049935297252036,0.12062404870624048,63,0,,0.5,0.8568593218279876,0.42070757337570164,0.821537290715373,0.7447436277193016,0.36428571428571427,0.6435331230283912,0.4652223489167617,1955,356,113,204,0.845954132410212
InsulinResist,evaluated,13137,2628,2397,480,0.1824617492578214,0.182648401826484,60,0,,0.5,0.9721106843575419,0.8815569113557873,0.9090563165905632,0.9055400372439479,0.6934189406099518,0.9,0.7833182230281052,1957,191,48,432,0.9110800744878957
AbdominalObesity,evaluated,13137,2628,5358,1072,0.40785567481160084,0.4079147640791476,60,0,,0.5,0.9090820799600967,0.8603236706862729,0.8146879756468798,0.8204410946552585,0.7356970185334408,0.851679104477612,0.7894509295287505,1228,328,159,913,0.7892030848329049
Hypertension,evaluated,13137,2628,3918,784,0.2982416076729847,0.2983257229832572,61,0,,0.5,0.912471916640843,0.801936471491774,0.8280060882800608,0.8301482469343486,0.6697341513292433,0.8354591836734694,0.7434733257661748,1521,323,129,655,0.8248373101952278
HighLipid,evaluated,13137,2628,3369,674,0.2564512445763873,0.256468797564688,60,0,,0.5,0.8691013488271794,0.6444276359451239,0.7747336377473364,0.7950608809745816,0.5391969407265774,0.8367952522255193,0.6558139534883721,1472,482,110,564,0.7533265097236438
HighPulsePressure,evaluated,13137,2628,1596,319,0.1214889244119662,0.12138508371385083,62,0,,0.5,0.8787679666997479,0.5053143099803177,0.8409436834094368,0.7730483551483835,0.4074766355140187,0.6833855799373041,0.5105386416861827,1992,317,101,218,0.862711130359463
HighTriglycerides,evaluated,13137,2628,765,153,0.05823247316738982,0.05821917808219178,63,0,,0.5,0.9493285799168152,0.576375963442916,0.9296042617960426,0.8031966726084373,0.43162393162393164,0.6601307189542484,0.5219638242894057,2342,133,52,101,0.9462626262626262
LowHDL,evaluated,13137,2628,3023,605,0.23011342011113647,0.2302130898021309,63,0,,0.5,0.8457899445631436,0.609739608072522,0.7598934550989346,0.7548330562171393,0.4859913793103448,0.7454545454545455,0.588388780169602,1546,477,154,451,0.764211566979733
MetabolicSyndrome,evaluated,13137,2628,1784,357,0.1357996498439522,0.1358447488584475,58,0,,0.5,0.9211245925054301,0.6634054472786713,0.8611111111111112,0.8275682796236064,0.4929328621908127,0.7815126050420168,0.6045503791982665,1984,287,78,279,0.8736239542051959
CKD,evaluated,13137,2628,2156,431,0.1641166171880947,0.16400304414003045,59,0,,0.5,0.7674560437297432,0.492616623718906,0.8025114155251142,0.6925849106617651,0.41911764705882354,0.5290023201856149,0.4676923076923077,1881,316,203,228,0.8561675011379153
LiverDisease,evaluated,13137,2628,810,162,0.06165791276547157,0.06164383561643835,61,0,,0.5,0.8242292711743915,0.2655152049892711,0.8850837138508372,0.6504010092817879,0.23484848484848486,0.38271604938271603,0.29107981220657275,2264,202,100,62,0.9180859691808597
KidneyStones,evaluated,13137,2628,794,159,0.06043997868615361,0.06050228310502283,63,0,,0.5,0.7280542882688736,0.11987269937559646,0.8599695585996956,0.5694766042321007,0.13333333333333333,0.2389937106918239,0.17117117117117117,2222,247,121,38,0.8999594977723775
Anemia,evaluated,13137,2628,1868,374,0.14219380376037147,0.14231354642313546,61,0,,0.5,0.8572140318578023,0.51457350716803,0.830289193302892,0.7650261685701949,0.4375,0.6737967914438503,0.5305263157894737,1930,324,122,252,0.8562555456965395
